113	0	3	5	2	1	1	1	1	0.1	1.82		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0			100.0	62.0	82.0	82.0	170.0	166.0	181.0	132.0	1.0	37.0	37.0	25.0	12.0	12.0	10.0	12.0	125.0	125.0	125.0	116.0	116.0	116.0	106.0	0.0	0.0	0.0	0.0	26	10	394.0	0.66
112	0	37	1	1	1	1	1	1	0.05	2.00		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0			100.0	3.6	2.4	2.4	85.0	75.4	61.6	134.0	0.0	90.4	9.4	2.4	2.8	2.2	0.2	2.2	113.0	113.0	112.0	108.0	109.0	109.0	109.0	1.3	81.0	0.0	0.0	10.1	0	353.3	0.59
109(1)	1	3	2	1	1	6	1	1	0.53	7.15		0.6629370629	0	0	0	0.3377483444	0	0	0	0	0	0	0	0	0	0			66.2937062937	6.6293706294	39.7762237762	39.7762237762	93.4741258741	84.193006993	91.4853146853	60.9902097902	43.0909090909	58.3384615385	58.3384615385	33.8097902098	24.5286713287	17.8993006993	15.9104895105	17.8993006993	2.6517482517	2.6517482517	2.6517482517	28.5062937063	22.5398601399	22.5398601399	21.213986014	0	0	0	0	-3.3146853147	1.3258741259	234.0	0.27
109(2)	1	3	2	1	1	6	1	1	0.43	4.34		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0			100.0	89.0	87.0	87.0	171.0	158.0	151.0	85.0	45.0	9.0	9.0	0.0	9.0	1.0	-2.0	1.0	19.0	19.0	19.0	8.0	3.0	3.0	3.0	0.0	0.0	0.0	0.0	35	0	86.0	0.14
109(3)	1	3	2	1	1	6	1	1	0.75	10.64		0.6896551724	0	0	0	0.3103448276	0	0	0	0	0	0	0	0	0	0			68.9655172414	33.1034482759	50.3448275862	50.3448275862	107.5862068966	98.6206896552	107.5862068966	78.6206896552	60.6896551724	35.1724137931	35.1724137931	18.6206896552	16.5517241379	10.3448275862	8.275862069	10.3448275862	2.7586206897	2.7586206897	2.7586206897	26.2068965517	26.2068965517	26.2068965517	18.6206896552	0	0	0	0	-1.3793103448	7.5862068966	220.0	0.27
109(4)	1	3	2	1	1	6	1	1	0.59	6.66		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0			100.0	59.0	78.0	78.0	163.0	152.0	146.0	92.0	55.0	39.0	39.0	21.0	19.0	12.0	9.0	12.0	18.0	18.0	18.0	9.0	9.0	9.0	9.0	0.0	0.0	0.0	0.0	27	0	131.0	0.22
108(1)	1	3	1	1	1	5	1	1	0.43	5.20		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0			100.0	63.9	78.6	78.6	N.A.	160.3	194.2	99.4	0.0	34.8	34.8	16.3	18.5	11.7	4.6	11.7	81.6	81.6	81.6	72.7	72.7	72.7	72.7	0.0	0.0	0.0	0.0	25	0	263.5	0.44
108(2)	1	3	1	1	1	6	1	1	0.33	4.67		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0			100.0	64.6	74.8	74.8	N.A.	150.2	159.0	86.2	0.0	32.9	32.9	13.6	19.3	12.3	1.3	11.1	69.7	69.7	68.0	58.4	58.4	58.4	56.7	0.0	0.0	0.0	0.0	28.5	0	217.0	0.36
107(1)	1	1	2	1	1	5	1	1	0.52	6.60		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0			100.0	71.0	81.0	81.0	167.0	152.0	121.0	101.0	33.0	28.0	26.0	11.0	15.0	7.0	4.0	7.0	29.0	29.0	27.0	13.0	19.0	23.0	23.0	2.0	2.0	0.0	0.0	24	0.8	164.8	0.27
107(2)	1	1	2	1	1	6	1	1	0.26	7.20		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0			100.0	57.0	78.0	78.0	171.0	163.0	148.0	141.0	3.0	42.0	38.0	22.0	16.0	12.0	10.0	12.0	22.0	22.0	20.0	13.0	17.0	19.0	21.0	2.0	4.0	0.0	0.0	12	0	212.2	0.35
